datasetid,recordid,nom_parking,company,adresse,ville,code_postal,geo,gares_id,24/24,time_opening,time_closing,prix_jour,prix_semaine,camera,handicape,hauteur_maximum,nombre_de_places
parking,76,Parking Achres Ville,"Autocit
",2 Alle Edouard Branly,"Achres
",78260,"48.9691923927, 2.0778745706",6,TRUE,0.00,0.00,0,0,FALSE,TRUE,100,100
parking,130,Parking de la Gare,Ville,2 Impasse de la Gare,Ballancourt-sur-Essonne,91610,"48.531550, 2.373430",106,TRUE,0.00,0.00,0,0,FALSE,TRUE,100,50
parking,115,"Parking Boissy-Saint-Lger
",Indigo,"	
8 Boulevard de la Gare",Boissy-Saint-Leger,94470,"48.7523020203, 2.50537327295",87,TRUE,0.00,0.00,10.20,,TRUE,TRUE,1.9,541
parking,87,Parking Bondy,Vincy Park,95 avenue Jules ferry,Bondy,93140,"48.8950627251, 2.47708587336","e,p",,,,,,,,,
parking,92,"Parking Boussy-Saint-Antoine (Gare)
",Effia,195 rue Marcel Pagnol,Boussy-Saint-Antoine,91800,"48.6803131849, 2.53184668156",105,TRUE,0.00,0.00,8.50,,FALSE,TRUE,1.9,200
parking,98,"Parking La Hacquinire
",Indigo,"41, rue Charles de Gaulle",Bures-sur-Yvette,91440,"48.6948655517, 2.15246123112",401,TRUE,0.00,0.00,13.20,,TRUE,TRUE,1.9,54
parking,114,"Parking Bussy-Saint-Georges
",,5 Boulevard Pierre Mends France,Bussy-Saint-Georges,77600,"48.8361576, 2.7077261",119,TRUE,0.00,0.00,14.90,,TRUE,TRUE,1.9,420
parking,135,Parking Les Arts,Indigo,Parking Relais ,Cergy,95000,"49.013330, 2.063700",129,TRUE,0.00,0.00,8.50,,TRUE,TRUE,1.9,324
parking,111,Esplanade de la Gare,Indigo,1 Rue de la Gare,Cergy,95000,"49.036070, 2.079340",129,TRUE,0.00,0.00,11.50,,TRUE,TRUE,1.9,50
parking,99,"Parking Cergy Le Haut
",Indigo,6 place des 3 gares,Cergy le Haut,95800,"49.048461, 2.0106553",128,TRUE,0.00,0.00,8.50,,TRUE,TRUE,1.9,701
parking,77,Parking Changis Saint-Jean,Effia,"10, Rue Marcel Neyrat",Changis Saint-Jean,77660,"48.959364781, 3.02542640107",146,TRUE,0.00,0.00,-,,FALSE,TRUE,2.1,200
parking,68,Parking de la Gare de Chatou,Saemes,Place Maurice Berteaux,Chatou,78400,"48.88595, 2.15486
",574.361,FALSE,5.00,21.00,16.25,33.4,TRUE,FALSE,1.9,405
parking,69,Parking Place Berteaux,Saemes,Place Maurice Berteaux,Chatou,78400,"48.88629, 2.1549
",574.361,TRUE,0.00,0.00,24.05,33.4,FALSE,TRUE,1.95,95
